"","uuid","suspicion_rating","normed_signed_e_v","normed_unsigned_e_v","subject_lost","subject_lied","reward_block","random_pick_col","n_blue","prop_blue","random_pick_red"
"1860","61684a263a8f291d6b91bc71",0.5,0.545454545454545,0.285714285714286,0,0,"low","blue",6,0.857142857142857,0
"1861","6346a9acc2a832b58c8e7229",0.666666666666667,0.555555555555556,0.428571428571429,0,0,"high","blue",5,0.714285714285714,0
"1862","6346a9acc2a832b58c8e7229",0.166666666666667,0.222222222222222,0.285714285714286,0,1,"high","red",1,0.142857142857143,1
"1863","6346a9acc2a832b58c8e7229",0.666666666666667,0.666666666666667,0.571428571428572,0,0,"high","blue",4,0.571428571428571,0
"1864","6346a9acc2a832b58c8e7229",0.666666666666667,0.888888888888889,0.857142857142857,0,0,"high","blue",2,0.285714285714286,0
"1865","6346a9acc2a832b58c8e7229",0.833333333333333,1,1,0,1,"high","red",1,0.142857142857143,1
"1866","6346a9acc2a832b58c8e7229",0.666666666666667,0.666666666666667,0.571428571428572,0,0,"high","blue",4,0.571428571428571,0
"1867","6346a9acc2a832b58c8e7229",0.333333333333333,0.444444444444444,0.285714285714286,0,0,"high","blue",6,0.857142857142857,0
"1868","6346a9acc2a832b58c8e7229",0.333333333333333,0,0.571428571428572,0,1,"high","red",3,0.428571428571429,1
"1869","6346a9acc2a832b58c8e7229",0.666666666666667,0.888888888888889,0.857142857142857,0,1,"high","red",2,0.285714285714286,1
"1870","6346a9acc2a832b58c8e7229",0.833333333333333,0.555555555555556,0.428571428571429,0,1,"high","red",5,0.714285714285714,1
"1871","6346a9acc2a832b58c8e7229",0.333333333333333,0.111111111111111,0.428571428571429,0,1,"high","red",2,0.285714285714286,1
"1872","6346a9acc2a832b58c8e7229",0.666666666666667,0.777777777777778,0.714285714285714,0,0,"high","blue",3,0.428571428571429,0
"1873","6346a9acc2a832b58c8e7229",0.333333333333333,0.222222222222222,0.285714285714286,0,1,"high","red",1,0.142857142857143,1
"1874","6346a9acc2a832b58c8e7229",0.666666666666667,0.555555555555556,0.428571428571429,0,0,"high","blue",5,0.714285714285714,0
"1875","6346a9acc2a832b58c8e7229",0.5,0,0.571428571428572,0,1,"high","red",3,0.428571428571429,1
"1876","6346a9acc2a832b58c8e7229",0.666666666666667,0.888888888888889,0.857142857142857,0,0,"high","blue",2,0.285714285714286,0
"1877","6346a9acc2a832b58c8e7229",0.333333333333333,0.111111111111111,0.428571428571429,0,0,"high","blue",2,0.285714285714286,0
"1878","6346a9acc2a832b58c8e7229",0.333333333333333,0.444444444444444,0.285714285714286,0,0,"high","blue",6,0.857142857142857,0
"1879","6346a9acc2a832b58c8e7229",0.333333333333333,0.111111111111111,0.428571428571429,0,0,"high","blue",2,0.285714285714286,0
"1880","6346a9acc2a832b58c8e7229",0.333333333333333,0.444444444444444,0.285714285714286,0,1,"high","red",6,0.857142857142857,1
"1881","6346a9acc2a832b58c8e7229",1,1,1,0,1,"high","red",1,0.142857142857143,1
"1882","6346a9acc2a832b58c8e7229",0.5,0.444444444444444,0.285714285714286,0,0,"high","blue",6,0.857142857142857,0
